lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
140,0,70.0,12,29,3,5,0,0,0,1
12,0,111.35,5,30,2,3,1,0,0,1
16,0,108.67,12,8,4,3,0,0,0,1
43,1,126.9,7,1,4,2,1,0,0,1
88,2,143.1,5,11,4,3,0,0,0,1
1,0,85.0,9,29,2,2,0,0,0,1
0,1,76.47,6,27,4,4,1,0,0,1
144,1,81.08,7,25,4,1,1,0,0,1
6,2,95.33,8,14,4,2,1,0,0,1
24,1,77.25,1,29,4,2,1,0,1,1
75,0,75.0,4,25,3,3,1,0,0,1
69,0,120.0,6,12,3,4,2,0,0,0
145,1,0.0,7,5,4,0,0,0,0,1
16,2,105.4,12,21,4,1,0,0,0,1
182,0,114.75,7,30,4,2,2,0,0,0
320,1,115.0,8,18,3,2,0,1,0,0
181,1,103.95,7,30,4,2,2,0,0,0
97,1,140.5,11,11,4,2,0,0,0,1
58,1,86.72,4,25,4,3,1,0,3,1
3,0,65.0,9,27,2,0,2,0,0,1
148,1,136.8,7,8,4,2,0,0,3,0
95,1,119.85,4,30,4,3,2,0,0,1
7,1,115.0,2,15,3,4,1,0,0,1
93,1,80.75,6,3,3,2,0,0,0,1
129,0,131.75,7,25,4,4,1,1,0,0
23,1,90.95,11,12,4,3,1,0,0,1
47,0,99.9,4,12,4,1,0,0,0,0
153,0,186.3,8,19,4,1,0,0,5,0
20,0,160.0,9,25,3,2,1,0,0,0
180,1,100.0,5,2,3,1,1,0,0,1
134,0,65.0,12,4,3,2,2,0,0,1
199,0,94.5,10,1,4,7,2,0,0,0
105,0,75.0,4,6,3,1,0,0,0,0
29,1,66.18,12,2,2,2,0,0,0,1
100,1,136.0,5,19,4,3,1,0,0,1
30,0,81.9,2,13,4,1,0,0,0,0
36,2,102.6,10,13,4,1,0,3,0,1
24,1,141.0,3,26,4,1,1,0,0,1
22,3,119.25,9,17,4,3,1,0,0,1
23,0,140.0,10,29,4,1,2,0,0,0
250,0,95.0,9,26,3,3,1,0,0,0
39,0,65.0,12,27,3,1,0,0,0,1
289,0,67.0,10,17,3,1,0,0,0,1
124,0,114.3,5,6,4,2,1,0,3,1
119,1,119.85,6,1,4,5,2,0,0,1
29,0,75.0,10,20,3,3,0,0,3,1
79,1,119.0,11,30,4,4,0,0,3,0
346,1,115.0,9,13,3,2,0,1,0,0
